name,food_stamps,median_earnings,state,county,tract
"Census Tract 8457.03, DuPage County, Illinois",49,40233,17,043,845703
"Census Tract 8458.02, DuPage County, Illinois",38,50795,17,043,845802
"Census Tract 8462.07, DuPage County, Illinois",27,55975,17,043,846207
"Census Tract 8463.04, DuPage County, Illinois",30,69938,17,043,846304
"Census Tract 8464.05, DuPage County, Illinois",51,56117,17,043,846405
"Census Tract 8461.04, DuPage County, Illinois",67,54427,17,043,846104
"Census Tract 8457.04, DuPage County, Illinois",0,40423,17,043,845704
"Census Tract 8458.05, DuPage County, Illinois",7,48891,17,043,845805
"Census Tract 8402.02, DuPage County, Illinois",37,41521,17,043,840202
"Census Tract 8410.02, DuPage County, Illinois",33,41125,17,043,841002
"Census Tract 8423, DuPage County, Illinois",9,57375,17,043,842300
"Census Tract 15, Peoria County, Illinois",389,18222,17,143,001500
"Census Tract 21, Peoria County, Illinois",700,25236,17,143,002100
"Census Tract 38, Peoria County, Illinois",86,31451,17,143,003800
"Census Tract 46, Peoria County, Illinois",207,27049,17,143,004600
"Census Tract 3, Peoria County, Illinois",339,18225,17,143,000300
"Census Tract 19, Peoria County, Illinois",5,6565,17,143,001900
"Census Tract 25, Peoria County, Illinois",401,26133,17,143,002500
"Census Tract 26, Peoria County, Illinois",99,35197,17,143,002600
"Census Tract 28, Peoria County, Illinois",159,34335,17,143,002800
"Census Tract 36.01, Peoria County, Illinois",101,33276,17,143,003601
"Census Tract 37, Peoria County, Illinois",83,34726,17,143,003700
"Census Tract 1, Peoria County, Illinois",218,17813,17,143,000100
"Census Tract 5, Peoria County, Illinois",301,16006,17,143,000500
"Census Tract 12, Peoria County, Illinois",330,16890,17,143,001200
"Census Tract 16, Peoria County, Illinois",607,20366,17,143,001600
"Census Tract 13, Peoria County, Illinois",299,17034,17,143,001300
"Census Tract 24, Peoria County, Illinois",316,27154,17,143,002400
"Census Tract 32, Peoria County, Illinois",144,31242,17,143,003200
"Census Tract 34.02, Peoria County, Illinois",27,41981,17,143,003402
"Census Tract 43, Peoria County, Illinois",223,26495,17,143,004300
"Census Tract 44, Peoria County, Illinois",506,24974,17,143,004400
"Census Tract 48.02, Peoria County, Illinois",286,31121,17,143,004802
"Census Tract 49.02, Peoria County, Illinois",32,42020,17,143,004902
"Census Tract 31.01, Peoria County, Illinois",298,40573,17,143,003101
"Census Tract 36.02, Peoria County, Illinois",381,26001,17,143,003602
