"","rcd","schoolname","ncesid","address"
"1","150162990","City of Chicago SD 299","1709930","42 W Madison St 2nd Flr"
"2","150162990","Amundsen High School","170993000587","5110 N Damen Ave"
"3","150162990","Bogan High School","170993000626","3939 W 79th St"
"4","150162990","Carver Military Academy HS","170993000671","13100 S Doty Ave"
"5","150162990","Farragut Career Academy HS","170993000788","2345 S Christiana Ave"
"6","150162990","Fenger Academy High School","170993000792","11220 S Wallace St"
"7","150162990","Foreman High School","170993000799","3235 N Leclaire Ave"
"8","150162990","Back of The Yards IB HS","170993006282","2111 W 47th St"
"9","150162990","Gage Park High School","170993000809","5630 S Rockwell St"
"10","150162990","Harlan Community Academy HS","170993000851","9652 S Michigan Ave"
"11","150162990","Hirsch Metropolitan High School","170993000879","7740 S Ingleside Ave"
"12","150162990","Hubbard High School","170993000889","6200 S Hamlin Ave"
"13","150162990","Hyde Park Academy High School","170993000893","6220 S Stony Island Ave"
"14","150162990","Thomas Kelly College Preparatory","170993000920","4136 S California Ave"
"15","150162990","Kelvyn Park High School","170993000923","4343 W Wrightwood Ave"
"16","150162990","Kennedy High School","170993000924","6325 W 56th St"
"17","150162990","Kenwood Academy High School","170993000925","5015 S Blackstone Ave"
"18","150162990","Lake View High School","170993000941","4015 N Ashland Ave"
"19","150162990","Lane Technical High School","170993000942","2501 W Addison St"
"20","150162990","Marshall Metropolitan High School","170993000972","3250 W Adams St"
"21","150162990","Mather High School","170993000977","5835 N Lincoln Ave"
"22","150162990","Morgan Park High School","170993001002","1744 W Pryor Ave"
"23","150162990","Phillips Academy High School","170993001061","244 E Pershing Rd"
"24","150162990","Roosevelt High School","170993001093","3436 W Wilson Ave"
"25","150162990","Schurz High School","170993001111","3601 N Milwaukee Ave"
"26","150162990","Senn High School","170993001114","5900 N Glenwood Ave"
"27","150162990","King College Prep High School","170993000931","4445 S Drexel Blvd"
"28","150162990","Steinmetz College Prep HS","170993001139","3030 N Mobile Ave"
"29","150162990","Sullivan High School","170993001149","6631 N Bosworth Ave"
"30","150162990","Taft High School","170993001153","6530 W Bryn Mawr Ave"
"31","150162990","Tilden Career Communty Academy HS","170993001161","4747 S Union Ave"
"32","150162990","Von Steuben Metro Science HS","170993001180","5039 N Kimball Ave"
"33","150162990","Lincoln Park High School","170993001185","2001 N Orchard St"
"34","150162990","Washington G High School","170993001189","3535 E 114th St"
"35","150162990","Wells Community Academy HS","170993001192","936 N Ashland Ave"
"36","150162990","Crane Medical Prep HS","170993006260","2245 W Jackson Blvd"
"37","150162990","Disney II Magnet HS","170993006250","3900 N Lawndale Ave"
"38","150162990","Urban Prep Chtr Acad Englewood HS","170993005884","6201 S Stewart Ave"
"39","150162990","IHSCA Charter High School","170993006103","2520 S Western Ave"
"40","150162990","Urban Prep Chtr Acad Bronzeville HS","170993006132","521 E 35th St"
"41","150162990","EPIC Academy High School","170993006088","8255 S Houston Ave"
"42","150162990","Legal Prep Academy Charter HS","170993006241","4319 W Washington Blvd"
"43","150162990","IJLA Charter High School","170993006238","2570 S Blue Island"
"44","150162990","Intrinsic Charter High School","170993006293","4540 W Belmont Ave"
"45","150162990","Noble St Chtr-Pritzker College Prep","170993006452","4131 W Cortland St"
"46","150162990","Noble St Chtr Rauner College Prep","170993006499","1337 W Ohio St"
"47","150162990","Noble St Chtr-Rowe-Clark MS Acad","170993006447","3645 W Chicago Ave"
"48","150162990","Noble St Chtr-Golder College Prep","170993006439","1454 W Superior St"
"49","150162990","Noble St Chtr-Comer College Prep","170993006523","7131 S South Chicago Ave"
"50","150162990","Noble St Chtr-UIC College Prep","170993006515","1231 S Damen Ave"
"51","150162990","Noble St Chtr-Chicago Bulls Prep","170993006440","2040 W Adams St"
"52","150162990","Noble St Chtr-Muchin College Prep","170993006459","1 N State St"
"53","150162990","Noble St Chtr-Johnson College Prep","170993006494","6350 S Stewart Ave"
"54","150162990","Noble St Chtr-Hansberry College Prep - Silver","170993006454","8748 S Aberdeen St"
"55","150162990","Noble St Chtr-DRW Trading College Prep","170993006480","931 S Homan Ave"
"56","150162990","Noble St Chtr-Butler College Prep - Crimson","170993006450","821 E 103rd St"
"57","150162990","Noble St Chtr-Baker Campus","170993006491","2710 E 89th St"
"58","150162990","Noble St Chtr-Noble Campus","170993006470","1010 N Noble St"
"59","150162990","Noble St Chtr-ITW Speer Acad","170993006485","5321 W Grand Ave"
"60","150162990","Noble St Chtr-The Noble Academy","170993006464","1443 N Ogden Ave"
"61","150162990","Noble St Chtr - Mansueto","170993006513","2911 W 47Th St"
"62","150162990","North Lawndale Prep Chtr-Collins","170993006476","1313 S Sacramento Dr"
"63","150162990","Acero Chtr Sch Network- Sor Juana Ines de la Cruz","170993006508","7416 N Ridge Blvd"
"64","150162990","Perspectives Chtr - Joslin Campus","170993006503","1930 S Archer Ave"
"65","150162990","Perspectives Chtr - Leadership Acad","170993006437","8522 S Lafayette Ave"
"66","150162990","Chicago Vocational Career Acad HS","170993000943","2100 E 87th St"
"67","150162990","Perspectives Chtr - High School of Technology","170993006441","8522 S Lafayette Ave"
"68","150162990","Dunbar Vocational Career Acad HS","170993000588","3000 S King Dr"
"69","150162990","Jones College Prep High School","170993000990","700 S State St"
"70","150162990","Prosser Career Academy HS","170993000681","2148 N Long Ave"
"71","150162990","Richards Career Academy HS","170993000718","5009 S Laflin St"
"72","150162990","Simeon Career Academy High School","170993000758","8147 S Vincennes Ave"
"73","150162990","Perspectives Chtr -  IIT Campus","170993006514","3663 S Wabash Ave"
"74","150162990","Corliss High School","170993001072","821 E 103rd St"
"75","150162990","Clemente Community Academy HS","170993001086","1147 N Western Ave"
"76","150162990","YCCS-Scholastic Achievement HS","170993006519","4651 W Madison St"
"77","150162990","YCCS- McKinley-Lakeside Leadership Academy","170993006479","2920 S Wabash Ave"
"78","150162990","YCCS-ASPIRA Pantoja Alt HS","170993006504","3121 N Pulaski Rd"
"79","150162990","YCCS-Association House","170993006496","1116 N Kedzie Ave Fl 4"
"80","150162990","YCCS-Austin Career Ed Cntr HS","170993006511","5352 W Chicago Ave"
"81","150162990","YCCS-CCA Academy HS","170993006463","1231 S Pulaski Rd"
"82","150162990","YCCS-Progressive Leadership Academy","170993006490","6620 S Dr Martin L King Jr Dr"
"83","150162990","Manley Career Academy High School","170993001125","2935 W Polk St"
"84","150162990","Curie Metropolitan High School","170993001198","4959 S Archer Ave"
"85","150162990","YCCS-Community Youth Dev Inst HS","170993006468","7836 S Union Ave"
"86","150162990","YCCS-Albizu Campos Puerto Rican HS","170993006486","2739 W Division St"
"87","150162990","YCCS-Innovations of Arts Integr HS","170993006456","17 N State St"
"88","150162990","YCCS-Jane Addams Alternative HS","170993006501","1814 S Union Ave"
"89","150162990","YCCS-Latino Youth Alternative HS","170993006449","2001 S California Ave"
"90","150162990","YCCS-Olive Harvey Mid College HS","170993006478","10001 S Woodlawn Ave"
"91","150162990","YCCS-Sullivan House Alt HS","170993006460","8164 S South Chicago Ave"
"92","150162990","YCCS-Truman Middle College HS","170993006517","1145 W Wilson Ave"
"93","150162990","YCCS-West Town Academy Alt HS","170993006442","500 N Sacramento Blvd"
"94","150162990","YCCS West","170993006445","4909 W Division St"
"95","150162990","YCCS-Youth Connection Leadership Academy","170993006518","3424 S State St"
"96","150162990","YCCS Chtr - Chatham","170993006458","9035 S Langley Ave"
"97","150162990","ASPIRA Charter - Early College Prep HS","170993006473","3986 W Barry Ave"
"98","150162990","Julian High School","170993000895","10330 S Elizabeth St"
"99","150162990","Young Magnet High School","170993000714","211 S Laflin St"
"100","150162990","Juarez Community Academy HS","170993000722","1450 W Cermak Rd"
"101","150162990","Chicago HS for Agricult Sciences","170993005147","3857 W 111th St"
"102","150162990","Hancock College Preparatory HS","170993001980","4034 W 56th St"
"103","150162990","Brooks College Prep Academy HS","170993002031","250 E 111th St"
"104","150162990","Northside College Preparatory Hs","170993003481","5501 N Kedzie Ave"
"105","150162990","Chicago Military Academy HS","170993003487","3519 S Giles Ave"
"106","150162990","Payton College Preparatory HS","170993003989","1034 N Wells St"
"107","150162990","Aspira Charter - Business and Finance HS","170993006453","2989 N Milwaukee Ave"
"108","150162990","Phoenix Military Academy HS","170993004715","145 S Campbell Ave"
"109","150162990","Spry Community Links High School","170993005677","2400 S Marshall Blvd"
"110","150162990","Chicago Academy High School","170993005061","3400 N Austin Ave"
"111","150162990","Bowen High School","170993005072","2710 E 89th St"
"112","150162990","North-Grand High School","170993005074","4338 W Wabansia Ave"
"113","150162990","Raby High School","170993005075","3545 W Fulton Blvd"
"114","150162990","Clark Acad Prep Magnet High Schl","170993005076","5101 W Harrison St"
"115","150162990","Rickover Naval Academy High Schl","170993005078","5700 W Berteau Ave"
"116","150162990","Uplift Community High School","170993005787","900 W Wilson Ave"
"117","150162990","CICS - Northtown  Campus","170993006500","3900 W Peterson Ave"
"118","150162990","World Language High School","170993005788","3120 S Kostner Ave"
"119","150162990","Douglass Academy High School","170993005789","543 N Waller Ave"
"120","150162990","Devry Advantage Academy High Schl","170993005790","1900 W Lawrence Ave"
"121","150162990","Lindblom Math & Science Acad HS","170993005791","6130 S Wolcott Ave"
"122","150162990","Bronzeville Scholastic HS","170993005792","4934 S Wabash Ave"
"123","150162990","School of Social Justice HS","170993005793","3120 S Kostner Ave"
"124","150162990","Multicultural Arts High School","170993005794","3120 S Kostner Ave"
"125","150162990","Infinity Math  Science & Tech HS","170993005795","3120 S Kostner Ave"
"126","150162990","CICS - Ralph Ellison Campus","170993006461","1817 W 80th St"
"127","150162990","Collins Academy High School","170993005942","1313 S Sacramento Dr"
"128","150162990","Austin College and Career Academy High School","170993005984","231 N Pine Ave"
"129","150162990","Orr Academy High School","170993005983","730 N Pulaski Rd"
"130","150162990","Air Force Acad High School","170993006055","3630 S Wells St"
