crdc_id,ncessch,year,fips,leaid,enrollment_crdc,teachers_certified_fte_crdc,counselors_fte_crdc,law_enforcement_fte_crdc,salaries_crdc,enrl_AP_crdc,enrl_AP_science_crdc,enrl_AP_math_crdc,enrl_AP_other_crdc,enrl_AP_language_crdc
170000105115,170000105115,2017,Illinois,1700001,142,14.600,0.500,0.000,1177096.625,7,0,4,3,0
170000105116,170000105116,2017,Illinois,1700001,127,9.300,0.500,0.000,854070.062,0,0,0,0,0
170000105651,170000105651,2017,Illinois,1700001,240,20.100,1.000,0.000,1395747.500,0,0,0,0,0
170000205087,170000205087,2017,Illinois,1700002,390,27.670,1.000,0.000,1577850.875,0,0,0,0,0
170000205089,170000205089,2017,Illinois,1700002,451,34.300,1.000,0.000,1518381.000,0,0,0,0,0
170000403009,170000403009,2017,Illinois,1700004,369,22.500,1.000,0.000,915475.000,0,0,0,0,0
170000403010,170000403010,2017,Illinois,1700004,207,18.000,1.000,0.000,714519.000,0,0,0,0,0
170000405125,170000405125,2017,Illinois,1700004,150,15.000,0.500,0.000,574947.000,0,0,0,0,0
170000502056,170000502056,2017,Illinois,1700005,288,23.200,0.000,0.000,1594010.000,0,0,0,0,0
170000505126,170000505126,2017,Illinois,1700005,580,43.250,2.000,0.000,3172152.000,66,0,18,62,0
170000505127,170000505127,2017,Illinois,1700005,262,21.500,0.000,0.000,1649358.000,0,0,0,0,0
170000505129,170000505129,2017,Illinois,1700005,372,31.000,0.000,0.000,2061710.000,0,0,0,0,0
170000505130,170000505130,2017,Illinois,1700005,155,14.000,0.000,0.000,1035585.000,0,0,0,0,0
170000505190,170000505190,2017,Illinois,1700005,245,14.250,0.000,0.000,1006698.000,0,0,0,0,0
170000603793,170000603793,2017,Illinois,1700006,69,8.000,1.000,0.000,850128.000,0,0,0,0,0
170000604460,170000604460,2017,Illinois,1700006,23,4.000,0.000,0.000,1366880.000,0,0,0,0,0
170000604464,170000604464,2017,Illinois,1700006,70,6.000,1.000,0.000,500000.000,0,0,0,0,0
170000604488,170000604488,2017,Illinois,1700006,23,8.000,1.000,0.000,793190.000,0,0,0,0,0
170000604902,170000604902,2017,Illinois,1700006,64,18.000,1.000,0.000,1700000.000,0,0,0,0,0
170000703846,170000703846,2017,Illinois,1700007,313,21.900,0.900,0.000,1396543.875,0,0,0,0,0
170000705083,170000705083,2017,Illinois,1700007,299,21.100,1.100,0.000,1632289.375,44,15,9,25,0
170000903322,170000903322,2017,Illinois,1700009,288,18.000,1.000,0.000,1236754.000,0,0,0,0,0
170000903323,170000903323,2017,Illinois,1700009,264,15.000,1.000,0.000,1189901.000,0,0,0,0,0
170001000022,170001000022,2017,Illinois,1700010,402,29.250,0.000,0.080,2021763.875,0,0,0,0,0
170001000211,170001000211,2017,Illinois,1700010,329,26.750,0.000,0.080,2082027.250,0,0,0,0,0
170001000212,170001000212,2017,Illinois,1700010,378,26.750,0.000,0.080,1949226.125,0,0,0,0,0
170001000213,170001000213,2017,Illinois,1700010,757,54.500,0.000,0.080,4425896.000,0,0,0,0,0
170001005141,170001005141,2017,Illinois,1700010,279,21.750,0.000,0.080,2076334.000,0,0,0,0,0
170001405224,170001405224,2017,Illinois,1700014,195,14.000,1.000,0.000,1301988.875,0,0,0,0,0
170001405225,170001405225,2017,Illinois,1700014,419,20.000,1.000,0.000,1455827.000,0,0,0,0,0
170001505226,170001505226,2017,Illinois,1700015,110,8.500,0.500,0.500,607218.375,0,0,0,0,0
170001505227,170001505227,2017,Illinois,1700015,154,13.500,0.000,0.500,607218.375,0,0,0,0,0
170002300685,170002300685,2017,Illinois,1700023,72,2.000,0.000,0.000,-2.000,0,0,0,0,0
170002300700,170002300700,2017,Illinois,1700023,40,1.000,0.000,0.000,-2.000,0,0,0,0,0
170002301922,170002301922,2017,Illinois,1700023,58,7.000,1.000,0.000,1098906.125,0,0,0,0,0
170002304730,170002304730,2017,Illinois,1700023,69,8.000,2.000,0.000,1098197.875,0,0,0,0,0
170002304731,170002304731,2017,Illinois,1700023,69,9.000,0.000,0.000,1358753.125,0,0,0,0,0
170002305042,170002305042,2017,Illinois,1700023,59,7.000,2.500,0.000,976904.750,0,0,0,0,0
170002404632,170002404632,2017,Illinois,1700024,95,45.000,0.000,0.000,6874228.000,0,0,0,0,0
170002404633,170002404633,2017,Illinois,1700024,72,14.000,0.000,1.000,3291870.250,0,0,0,0,0
170002901305,170002901305,2017,Illinois,1700029,156,13.940,0.000,0.000,2514396.000,0,0,0,0,0
170002901314,170002901314,2017,Illinois,1700029,45,2.500,0.000,1.000,346840.000,0,0,0,0,0
170002901323,170002901323,2017,Illinois,1700029,89,9.500,0.000,1.000,1470034.000,0,0,0,0,0
170002904498,170002904498,2017,Illinois,1700029,152,16.500,0.000,0.000,2574243.000,0,0,0,0,0
170002906337,170002906337,2017,Illinois,1700029,43,5.000,0.000,0.000,719136.000,0,0,0,0,0
170003001966,170003001966,2017,Illinois,1700030,59,3.000,0.000,0.000,-2.000,0,0,0,0,0
170003004485,170003004485,2017,Illinois,1700030,41,6.550,0.000,0.250,0.000,0,0,0,0,0
170003004486,170003004486,2017,Illinois,1700030,69,10.410,0.000,0.500,0.000,0,0,0,0,0
170003004490,170003004490,2017,Illinois,1700030,207,26.000,0.000,0.250,0.000,0,0,0,0,0
170003006266,170003006266,2017,Illinois,1700030,59,8.000,0.000,0.000,0.000,0,0,0,0,0
170003104501,170003104501,2017,Illinois,1700031,67,12.000,1.000,0.000,3508683.000,0,0,0,0,0
170003105831,170003105831,2017,Illinois,1700031,28,6.000,1.000,0.000,1512280.125,0,0,0,0,0
170003105832,170003105832,2017,Illinois,1700031,4,4.000,1.000,0.000,1570620.375,0,0,0,0,0
170003105833,170003105833,2017,Illinois,1700031,20,3.000,0.000,0.000,791045.188,0,0,0,0,0
170003106525,170003106525,2017,Illinois,1700031,10,1.000,0.000,0.000,-2.000,0,0,0,0,0
170003201603,170003201603,2017,Illinois,1700032,10,2.000,0.000,0.000,723739.000,0,0,0,0,0
170003203950,170003203950,2017,Illinois,1700032,107,13.500,0.000,0.500,2673117.000,0,0,0,0,0
170003205094,170003205094,2017,Illinois,1700032,170,29.000,0.000,0.000,6835835.000,0,0,0,0,0
170003205095,170003205095,2017,Illinois,1700032,92,16.000,0.000,0.500,3359575.000,0,0,0,0,0
170003206204,170003206204,2017,Illinois,1700032,16,2.000,0.000,0.000,283994.000,0,0,0,0,0
170003206216,170003206216,2017,Illinois,1700032,6,1.000,0.000,0.000,228834.000,0,0,0,0,0
170003206222,170003206222,2017,Illinois,1700032,13,2.000,0.000,0.000,511742.000,0,0,0,0,0
170003905229,170003905229,2017,Illinois,1700039,10,3.000,0.000,0.000,1643456.000,0,0,0,0,0
170004100254,170004100254,2017,Illinois,1700041,314,23.000,1.000,0.000,1834966.000,34,2,5,32,0
170004100268,170004100268,2017,Illinois,1700041,227,19.000,1.000,0.000,1424637.000,0,0,0,0,0
170004100272,170004100272,2017,Illinois,1700041,423,42.000,0.000,0.000,2522841.000,0,0,0,0,0
170004405230,170004405230,2017,Illinois,1700044,446,26.000,1.000,1.000,1374453.125,0,0,0,0,0
170004405737,170004405737,2017,Illinois,1700044,296,21.000,0.000,1.000,1068503.500,0,0,0,0,0
170004405738,170004405738,2017,Illinois,1700044,633,38.000,0.000,1.000,1921699.625,0,0,0,0,0
170004505236,170004505236,2017,Illinois,1700045,215,14.000,1.000,0.000,1932039.250,0,0,0,0,0
170004505239,170004505239,2017,Illinois,1700045,301,24.000,0.000,0.000,2120402.000,0,0,0,0,0
170004505560,170004505560,2017,Illinois,1700045,250,13.000,0.000,0.000,1928586.000,0,0,0,0,0
170004805562,170004805562,2017,Illinois,1700048,18,2.000,0.000,0.000,254978.906,0,0,0,0,0
170005105565,170005105565,2017,Illinois,1700051,11,4.400,0.000,0.000,449163.000,0,0,0,0,0
170005404841,170005404841,2017,Illinois,1700054,100,12.000,0.000,0.000,326943.000,0,0,0,0,0
170005904440,170005904440,2017,Illinois,1700059,183,31.000,0.000,0.000,3124047.250,0,0,0,0,0
170005904468,170005904468,2017,Illinois,1700059,56,9.000,0.000,0.000,1735016.875,0,0,0,0,0
170005904472,170005904472,2017,Illinois,1700059,170,35.000,0.000,0.000,4477912.000,0,0,0,0,0
170005905106,170005905106,2017,Illinois,1700059,136,30.000,0.000,0.000,2695782.500,0,0,0,0,0
170005906153,170005906153,2017,Illinois,1700059,108,11.000,0.000,0.000,3088609.000,0,0,0,0,0
170006505246,170006505246,2017,Illinois,1700065,127,15.000,0.000,0.000,744000.000,0,0,0,0,0
170007403419,170007403419,2017,Illinois,1700074,75,9.000,0.000,0.000,896973.000,0,0,0,0,0
170007405110,170007405110,2017,Illinois,1700074,35,5.000,0.000,0.000,491316.969,0,0,0,0,0
170007405111,170007405111,2017,Illinois,1700074,10,2.000,0.000,0.000,232239.812,0,0,0,0,0
170007703147,170007703147,2017,Illinois,1700077,316,19.250,0.000,0.000,1061334.500,0,0,0,0,0
170007705249,170007705249,2017,Illinois,1700077,478,31.000,0.000,0.000,1637955.875,0,0,0,0,0
170007706246,170007706246,2017,Illinois,1700077,232,14.500,0.000,0.000,790346.688,0,0,0,0,0
170008005349,170008005349,2017,Illinois,1700080,50,9.000,2.000,0.000,505366.875,0,0,0,0,0
170008006405,170008006405,2017,Illinois,1700080,2,1.000,0.000,0.000,-2.000,0,0,0,0,0
170008106042,170008106042,2017,Illinois,1700081,32,5.700,0.000,0.000,522551.469,0,0,0,0,0
170008405113,170008405113,2017,Illinois,1700084,58,7.000,0.000,0.000,686515.000,0,0,0,0,0
170008406326,170008406326,2017,Illinois,1700084,150,23.000,0.000,0.000,1904032.000,0,0,0,0,0
170009104616,170009104616,2017,Illinois,1700091,73,12.200,0.000,0.000,633313.000,0,0,0,0,0
170009205255,170009205255,2017,Illinois,1700092,283,18.000,1.000,0.000,1409031.000,0,0,0,0,0
170009205256,170009205256,2017,Illinois,1700092,199,18.000,0.000,0.000,891466.000,0,0,0,0,0
170009205258,170009205258,2017,Illinois,1700092,466,36.000,1.000,0.000,1528731.000,0,0,0,0,0
170009704503,170009704503,2017,Illinois,1700097,36,7.800,0.000,0.000,999243.062,0,0,0,0,0
170009705864,170009705864,2017,Illinois,1700097,52,10.200,0.000,0.000,1691972.375,0,0,0,0,0
170009805218,170009805218,2017,Illinois,1700098,171,46.000,0.000,0.000,6134335.500,0,0,0,0,0
170009805219,170009805219,2017,Illinois,1700098,60,27.000,0.000,0.000,3437664.000,0,0,0,0,0
170009904504,170009904504,2017,Illinois,1700099,436,35.000,0.000,0.000,2627364.000,0,0,0,0,0
170009904506,170009904506,2017,Illinois,1700099,638,44.000,2.000,0.000,3603283.000,249,73,98,61,0
170010004505,170010004505,2017,Illinois,1700100,322,2.500,3.000,0.000,2527369.250,0,0,0,0,0
170010105114,170010105114,2017,Illinois,1700101,650,17.000,2.000,0.000,9272978.000,207,0,208,0,0
170010205345,170010205345,2017,Illinois,1700102,75,9.000,0.400,0.000,439520.906,0,0,0,0,0
170010205346,170010205346,2017,Illinois,1700102,48,6.000,0.400,0.000,483064.562,0,0,0,0,0
