schoolid_cps,schoolname_cps,fullname_cps,schoolname2_cps,isbe_name_cps,street_number_cps,street_direction_cps,street_name_cps,city_cps,state_cps,zip_cps,cps_unit_cps,oracleid_cps,school_category_cps,community_area_number_cps,community_area_cps,geographicarea_cps,geographic_area_number_cps,cook_county_district_cps,census_block_cps,latitude_cps,longitude_cps,ncessch_num_cps,ncessch_cps,census_tract_cps
400096,Rowe,Rowe Elementary School,Rowe,Rowe Elementary,1424,N,Cleaver St,Chicago,IL,60642,8077.0,66571,ES,24.0,West Town,Near North,10.0,1.0,170312416001010,41.907797772,-87.6640357412999,,_,17031241600
610107,Otis,James Otis Elementary School,Otis,Otis Elem School,525,N,Armour St,Chicago,IL,60642,5220.0,24791,ES,24.0,West Town,Near North,10.0,8.0,170312433002018,41.9785009929,-87.8120172661,170993001012,_170993001012,17031243300
400163,Kipp Bloom Chtr Campus,KIPP Charter Bloom,Kipp Bloom Chtr Campus,,5515,S,Lowe Ave,Chicago,IL,60621,9627.0,,MS,68.0,Englewood,Englewood,4.0,2.0,170318347003007,41.8824467602999,-87.6277730491,,_,17031834700
609780,Ames,Ames Middle School,Ames,Ames Middle School,1920,N,Hamlin Ave,Chicago,IL,60647,2090.0,41111,MS,22.0,Logan Square,Logan,9.0,8.0,170312229001004,41.8338264794999,-87.6506520970999,170993002618,_170993002618,17031222900
610234,Yates,Richard Yates Elementary School,Yates,Yates Elem School,1839,N,Richmond St,Chicago,IL,60647,6510.0,25911,ES,22.0,Logan Square,Logan,9.0,8.0,170312225001012,42.0075054013,-87.7783138193999,170993001176,_170993001176,17031222500
609827,Burnside,Burnside Elementary Scholastic Academy,Burnside,Burnside Elem Scholastic Academy,650,E,91st Pl,Chicago,IL,60619,2520.0,29021,ES,44.0,Chatham,Chatham,12.0,4.0,170314409001018,41.7144023589,-87.5670939688999,170993000635,_170993000635,17031440900
609740,Wells HS,Wells Community Academy High School,Wells HS,Wells Community Academy HS,936,N,Ashland Ave,Chicago,IL,60622,1640.0,51071,HS,24.0,West Town,Near North,10.0,1.0,170312421003000,41.9182675643,-87.6460460882999,170993001192,_170993001192,17031242100
,Lozano Leadership Academy - Mastery Campus,Instituto Charter Rudy Lozano - RLLAM,Lozano Leadership Academy - Mastery Campus,,2520,S,Western Ave,Chicago,IL,60608,9628.0,,HS,31.0,Lower West Side,Pilsen - Little Village,16.0,2.0,170318413002016,41.7526966442,-87.5508909663,,_,17031841300
610199,Colemon,Johnnie Colemon Elementary Academy,Colemon,Colemon  J Elem Academy,1441,W,119th St,Chicago,IL,60643,6170.0,26751,ES,53.0,West Pullman,Far South Side,22.0,5.0,170315304002004,41.8923771766,-87.6737219217999,170993004016,_170993004016,17031530400
610340,Chgo Acad HS,Chicago Academy High School,Chgo Acad HS,Chicago Academy High School,3400,N,Austin Ave,Chicago,IL,60634,7770.0,46481,HS,17.0,Dunning,Reed-Dunning,24.0,12.0,170311711001012,41.8862374964,-87.7154238419,170993005061,_170993005061,17031171100
610304,Phoenix Military HS,Phoenix Military Academy High School,Phoenix Military HS,Phoenix Military Academy HS,145,S,Campbell Ave,Chicago,IL,60612,7310.0,55011,HS,28.0,Near West Side,Near West,23.0,1.0,170312808001010,41.7653075455,-87.6413336827999,170993004715,_170993004715,17031280800
400119,Legal Prep Chtr - Academy,Legal Prep Charter Academy,Legal Prep Chtr - Academy,Legal Prep Academy Charter HS,,,,Chicago,IL,60624,9036.0,66641,HS,26.0,West Garfield Park,Garfield - West Humboldt,20.0,1.0,170312603001027,41.8818929926,-87.7338528673,,_,17031260300
609993,Lara,Agustin Lara Elementary Academy,Lara,Lara Elem Academy,4619,S,Wolcott Ave,Chicago,IL,60609,3980.0,23791,ES,61.0,New City,McKinley Park,17.0,7.0,170316103003025,41.8668750427999,-87.6285782988999,170993001612,_170993001612,17031610300
