,NAME,pov_rate,tot_hhld,tot_hhld_int,unemp_rate_25_64,state,county,tract,internet_rate,emp_rate_25_64,above_pov_rate
0,"Census Tract 5, Champaign County, Illinois",28.9,2011,1660,9.0,17,019,000500,82.54599701640974,91.0,71.1
1,"Census Tract 8709.02, McHenry County, Illinois",9.2,2864,2475,5.6,17,111,870902,86.41759776536313,94.4,90.8
2,"Census Tract 8709.03, McHenry County, Illinois",17.8,1476,1086,8.9,17,111,870903,73.57723577235772,91.1,82.2
3,"Census Tract 8714.04, McHenry County, Illinois",4.4,1766,1563,7.1,17,111,871404,88.50509626274065,92.9,95.6
4,"Census Tract 8705, McHenry County, Illinois",8.8,3472,3101,6.7,17,111,870500,89.31451612903226,93.3,91.2
5,"Census Tract 8707.02, McHenry County, Illinois",8.2,2815,2465,6.4,17,111,870702,87.56660746003553,93.6,91.8
6,"Census Tract 8708.07, McHenry County, Illinois",8.6,1887,1730,3.9,17,111,870807,91.67991520932698,96.1,91.4
7,"Census Tract 8712.06, McHenry County, Illinois",1.6,2286,2075,6.6,17,111,871206,90.76990376202974,93.4,98.4
8,"Census Tract 8713.01, McHenry County, Illinois",4.7,1825,1533,2.6,17,111,871301,84.0,97.4,95.3
9,"Census Tract 8709.04, McHenry County, Illinois",11.2,1860,1616,5.4,17,111,870904,86.88172043010752,94.6,88.8
10,"Census Tract 8704.01, McHenry County, Illinois",10.8,3010,2642,3.4,17,111,870401,87.77408637873754,96.6,89.2
11,"Census Tract 8706.03, McHenry County, Illinois",10.5,1736,1470,5.9,17,111,870603,84.67741935483872,94.1,89.5
12,"Census Tract 8710.04, McHenry County, Illinois",8.2,2094,1758,5.8,17,111,871004,83.95415472779369,94.2,91.8
13,"Census Tract 8708.11, McHenry County, Illinois",6.9,1761,1547,6.4,17,111,870811,87.84781374219193,93.6,93.1
14,"Census Tract 1.05, McLean County, Illinois",4.4,1831,1657,2.1,17,113,000105,90.49699617695248,97.9,95.6
15,"Census Tract 12, McLean County, Illinois",16.0,1186,917,3.5,17,113,001200,77.31871838111299,96.5,84.0
16,"Census Tract 13.03, McLean County, Illinois",38.4,691,495,9.9,17,113,001303,71.63531114327061,90.1,61.6
17,"Census Tract 56.02, McLean County, Illinois",10.0,894,697,3.6,17,113,005602,77.96420581655481,96.4,90.0
18,"Census Tract 1.02, McLean County, Illinois",34.0,2652,2157,2.4,17,113,000102,81.33484162895928,97.6,66.0
19,"Census Tract 18, McLean County, Illinois",8.6,1471,1258,3.7,17,113,001800,85.52005438477227,96.3,91.4
20,"Census Tract 55.01, McLean County, Illinois",13.0,991,788,3.8,17,113,005501,79.51564076690212,96.2,87.0
21,"Census Tract 8502.02, Kane County, Illinois",19.1,1670,1235,5.6,17,089,850202,73.95209580838323,94.4,80.9
22,"Census Tract 8504, Kane County, Illinois",11.2,1030,716,4.0,17,089,850400,69.51456310679612,96.0,88.8
23,"Census Tract 8514, Kane County, Illinois",17.8,1758,1366,13.4,17,089,851400,77.7019340159272,86.6,82.2
24,"Census Tract 8522.01, Kane County, Illinois",2.5,1944,1757,2.2,17,089,852201,90.38065843621399,97.8,97.5
25,"Census Tract 8532, Kane County, Illinois",22.2,1862,1447,8.2,17,089,853200,77.71213748657357,91.8,77.8
26,"Census Tract 8534, Kane County, Illinois",21.1,2332,1927,2.9,17,089,853400,82.63293310463122,97.1,78.9
27,"Census Tract 8540.02, Kane County, Illinois",14.3,1916,1498,9.4,17,089,854002,78.18371607515657,90.6,85.7
28,"Census Tract 8520.01, Kane County, Illinois",4.1,1720,1482,2.3,17,089,852001,86.16279069767442,97.7,95.9
29,"Census Tract 8539, Kane County, Illinois",12.9,2022,1758,1.4,17,089,853900,86.94362017804154,98.6,87.1
30,"Census Tract 8506, Kane County, Illinois",3.2,2750,2476,2.5,17,089,850600,90.03636363636363,97.5,96.8
31,"Census Tract 8527, Kane County, Illinois",5.8,3025,2552,7.4,17,089,852700,84.36363636363636,92.6,94.2
32,"Census Tract 8505, Kane County, Illinois",10.1,1693,1392,3.3,17,089,850500,82.22090962787951,96.7,89.9
33,"Census Tract 8536, Kane County, Illinois",33.0,2279,1699,6.9,17,089,853600,74.5502413339184,93.1,67.0
34,"Census Tract 8905, Kendall County, Illinois",13.9,4505,3967,5.1,17,093,890500,88.05771365149833,94.9,86.1
35,"Census Tract 8907, Kendall County, Illinois",6.8,4782,4472,4.6,17,093,890700,93.51735675449603,95.4,93.2
36,"Census Tract 8904, Kendall County, Illinois",5.6,8904,8248,2.6,17,093,890400,92.63252470799641,97.4,94.4
37,"Census Tract 8906, Kendall County, Illinois",5.7,3389,3098,3.3,17,093,890600,91.41339628208911,96.7,94.3
38,"Census Tract 8902.02, Kendall County, Illinois",7.9,1076,934,5.6,17,093,890202,86.80297397769516,94.4,92.1
39,"Census Tract 8902.01, Kendall County, Illinois",4.4,1661,1475,4.0,17,093,890201,88.80192655027092,96.0,95.6
40,"Census Tract 9704, Brown County, Illinois",9.2,1088,756,3.7,17,009,970400,69.48529411764706,96.3,90.8
41,"Census Tract 8175, Cook County, Illinois",23.2,1294,737,8.9,17,031,817500,56.95517774343122,91.1,76.8
42,"Census Tract 8177, Cook County, Illinois",12.7,1635,1243,12.9,17,031,817700,76.02446483180428,87.1,87.3
43,"Census Tract 8179, Cook County, Illinois",9.3,2468,1608,15.3,17,031,817900,65.15397082658023,84.7,90.7
44,"Census Tract 8214.01, Cook County, Illinois",18.3,1412,1022,19.0,17,031,821401,72.37960339943342,81.0,81.7
45,"Census Tract 8201.04, Cook County, Illinois",12.5,1645,1286,3.6,17,031,820104,78.17629179331307,96.4,87.5
46,"Census Tract 8463.10, DuPage County, Illinois",13.9,1713,1323,3.2,17,043,846310,77.23292469352015,96.8,86.1
47,"Census Tract 8463.11, DuPage County, Illinois",5.1,1981,1683,4.7,17,043,846311,84.95709237758707,95.3,94.9
48,"Census Tract 8463.12, DuPage County, Illinois",9.1,2529,2133,4.7,17,043,846312,84.34163701067615,95.3,90.9
49,"Census Tract 8463.13, DuPage County, Illinois",3.4,2105,1854,5.0,17,043,846313,88.07600950118764,95.0,96.6
50,"Census Tract 8463.14, DuPage County, Illinois",4.8,1372,1272,3.5,17,043,846314,92.71137026239067,96.5,95.2
51,"Census Tract 8463.15, DuPage County, Illinois",2.4,1524,1388,2.3,17,043,846315,91.0761154855643,97.7,97.6
52,"Census Tract 8464.08, DuPage County, Illinois",3.3,1305,1259,4.8,17,043,846408,96.47509578544062,95.2,96.7
53,"Census Tract 8464.09, DuPage County, Illinois",3.3,1539,1488,4.1,17,043,846409,96.68615984405457,95.9,96.7
54,"Census Tract 8464.10, DuPage County, Illinois",7.2,2155,1997,1.9,17,043,846410,92.66821345707656,98.1,92.8
55,"Census Tract 8464.11, DuPage County, Illinois",7.6,1715,1642,4.5,17,043,846411,95.74344023323616,95.5,92.4
56,"Census Tract 8464.12, DuPage County, Illinois",6.1,1803,1670,6.7,17,043,846412,92.62340543538546,93.3,93.9
57,"Census Tract 8464.13, DuPage County, Illinois",5.4,1675,1449,5.4,17,043,846413,86.50746268656717,94.6,94.6
58,"Census Tract 8465.07, DuPage County, Illinois",7.3,1089,973,6.5,17,043,846507,89.34802571166207,93.5,92.7
59,"Census Tract 8465.09, DuPage County, Illinois",10.3,2089,1949,0.8,17,043,846509,93.29822881761608,99.2,89.7
60,"Census Tract 8465.10, DuPage County, Illinois",5.8,1159,1113,4.9,17,043,846510,96.03106125970665,95.1,94.2
61,"Census Tract 8465.11, DuPage County, Illinois",8.5,1966,1838,4.4,17,043,846511,93.48931841302137,95.6,91.5
62,"Census Tract 8465.13, DuPage County, Illinois",2.4,878,859,3.0,17,043,846513,97.83599088838268,97.0,97.6
63,"Census Tract 8465.14, DuPage County, Illinois",4.4,1218,1191,4.7,17,043,846514,97.78325123152709,95.3,95.6
64,"Census Tract 8465.15, DuPage County, Illinois",11.4,1819,1734,5.0,17,043,846515,95.32710280373831,95.0,88.6
65,"Census Tract 8465.17, DuPage County, Illinois",1.1,2122,2079,2.6,17,043,846517,97.97360980207351,97.4,98.9
66,"Census Tract 8465.18, DuPage County, Illinois",0.6,1171,1149,0.6,17,043,846518,98.12126387702818,99.4,99.4
67,"Census Tract 8465.19, DuPage County, Illinois",10.1,1144,1051,3.8,17,043,846519,91.87062937062937,96.2,89.9
68,"Census Tract 8465.21, DuPage County, Illinois",2.5,1944,1837,5.5,17,043,846521,94.49588477366255,94.5,97.5
69,"Census Tract 8465.22, DuPage County, Illinois",3.3,1453,1401,4.6,17,043,846522,96.42119752236752,95.4,96.7
70,"Census Tract 8465.23, DuPage County, Illinois",1.8,936,861,2.9,17,043,846523,91.98717948717949,97.1,98.2
71,"Census Tract 8465.24, DuPage County, Illinois",4.0,1712,1528,2.7,17,043,846524,89.25233644859813,97.3,96.0
72,"Census Tract 8466.03, DuPage County, Illinois",31.5,1328,900,7.5,17,043,846603,67.7710843373494,92.5,68.5
73,"Census Tract 8466.04, DuPage County, Illinois",6.7,1287,1008,5.1,17,043,846604,78.32167832167832,94.9,93.3
74,"Census Tract 8467.01, DuPage County, Illinois",9.3,1522,1112,6.3,17,043,846701,73.06176084099869,93.7,90.7
75,"Census Tract 8467.02, DuPage County, Illinois",14.9,1248,944,5.4,17,043,846702,75.64102564102564,94.6,85.1
76,"Census Tract 1.02, Grundy County, Illinois",5.4,2530,2126,6.2,17,063,000102,84.03162055335969,93.8,94.6
77,"Census Tract 1.03, Grundy County, Illinois",6.6,1950,1786,4.7,17,063,000103,91.58974358974359,95.3,93.4
78,"Census Tract 8835.11, Will County, Illinois",1.3,1586,1463,1.9,17,197,883511,92.24464060529634,98.1,98.7
