year,ncessch,school_id,school_name,leaid,lea_name,state_leaid,seasch,street_mailing,city_mailing,state_mailing,zip_mailing,street_location,city_location,state_location,zip_location,phone,fips,latitude,longitude,csa,cbsa,urban_centric_locale,county_code,school_level,school_type,school_status,lowest_grade_offered,highest_grade_offered,bureau_indian_education,title_i_status,title_i_eligible,title_i_schoolwide,charter,magnet,shared_time,virtual,teachers_fte,free_lunch,reduced_price_lunch,free_or_reduced_price_lunch,elem_cedp,high_cedp,middle_cedp,ungrade_cedp,enrollment,state_leg_district_lower,state_leg_district_upper,ncessch_num,congress_district_id,direct_certification,lunch_program
2017,170000105115,05115,River Ridge High School,1700001,River Ridge CUSD 210,IL-08-043-2100-26,0804321000002,4141 IL Route 84 S,Hanover,IL,61041,4141 IL Route 84 S,Hanover,IL,61041,(815)858-9005,Illinois,42.3119,-90.270806,-2,-2,Rural distant,17085,High,Regular school,Open,9,12,NA,School is eligible for Title I Schoolwide program (SWP) but provides no program,Yes,Yes,No,No,No,No,14,46,10,56,No,Yes,No,No,142,17089,17045,170000105115,1717,NA,Yes participating without using any Provision or the CEP
2017,170000105116,05116,River Ridge Middle School,1700001,River Ridge CUSD 210,IL-08-043-2100-26,0804321001001,4141 IL Route 84 S,Hanover,IL,61041,4141 IL Route 84 S,Hanover,IL,61041,(815)858-9005,Illinois,42.311886,-90.270738,-2,-2,Rural distant,17085,Middle,Regular school,Open,6,8,NA,School is eligible for Title I Schoolwide program (SWP) but provides no program,Yes,Yes,No,No,No,No,9,40,5,45,No,No,Yes,No,127,17089,17045,170000105116,1717,NA,Yes participating without using any Provision or the CEP
2017,170000105651,05651,River Ridge Elementary School,1700001,River Ridge CUSD 210,IL-08-043-2100-26,0804321002003,4141 IL Route 84 S,Hanover,IL,61041,4141 IL Route 84 S,Hanover,IL,61041,(815)858-9005,Illinois,42.311938,-90.270756,-2,-2,Rural distant,17085,Primary,Regular school,Open,Pre-K,5,NA,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,Yes,NA,No,No,No,No,21,107,13,120,Yes,No,No,No,240,17089,17045,170000105651,1717,NA,Yes participating without using any Provision or the CEP
2017,170000205087,05087,Casey-Westfield Jr/Sr HS,1700002,Casey-Westfield CUSD 4C,IL-11-012-004C-26,11012004C0001,306 E Edgar Ave,Casey,IL,62420,306 E Edgar Ave,Casey,IL,62420,(217)932-2175,Illinois,39.305123,-87.988835,-2,-2,Town distant,17023,High,Regular school,Open,7,12,NA,School is eligible for Title I Schoolwide program (SWP) but provides no program,Yes,Yes,No,No,No,No,26,175,5,180,No,Yes,Yes,No,390,17110,17055,170000205087,1715,NA,Yes participating without using any Provision or the CEP
2017,170000205089,05089,Monroe Elem School,1700002,Casey-Westfield CUSD 4C,IL-11-012-004C-26,11012004C2003,301 E Monroe Ave,Casey,IL,62420,301 E Monroe Ave,Casey,IL,62420,(217)932-2178,Illinois,39.294349,-87.988484,-2,-2,Town distant,17023,Primary,Regular school,Open,Pre-K,6,NA,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,29,439,51,490,Yes,No,No,No,490,17110,17055,170000205089,1715,NA,Yes under the Community Eligibility Provision (CEP)
2017,170000305119,05119,Blue Ridge High School,1700003,Blue Ridge CUSD 18,IL-17-020-0180-26,1702001800001,411 N John St,Farmer City,IL,61842,411 N John St,Farmer City,IL,61842,(309)928-2622,Illinois,40.247792,-88.647043,145,14010,Rural distant,17039,High,Regular school,Open,9,12,NA,School is eligible for Title I Schoolwide program (SWP) but provides no program,Yes,Yes,No,No,No,No,20,98,11,109,No,Yes,No,No,228,17101,17051,170000305119,1713,NA,Yes participating without using any Provision or the CEP
2017,170000305121,05121,Ruth M Schneider Elem School,1700003,Blue Ridge CUSD 18,IL-17-020-0180-26,1702001802003,309 N John St,Farmer City,IL,61842,309 N John St,Farmer City,IL,61842,(309)928-2611,Illinois,40.246842,-88.647221,145,14010,Rural distant,17039,Primary,Regular school,Open,Pre-K,3,NA,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,17,96,15,111,Yes,No,No,No,243,17101,17051,170000305121,1713,NA,Yes participating without using any Provision or the CEP
2017,170000305123,05123,Blue Ridge Intermediate-Jr HS,1700003,Blue Ridge CUSD 18,IL-17-020-0180-26,1702001802005,PO Box 69,Mansfield,IL,61854,PO Box 69,Mansfield,IL,61854,(217)489-5201,Illinois,40.210485,-88.500697,-2,16580,Rural distant,17147,Middle,Regular school,Open,4,8,NA,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,22,128,0,128,Yes,No,Yes,No,269,17101,17051,170000305123,1713,NA,No
2017,170000403009,03009,Norris City-Omaha Elem School,1700004,Norris City-Omaha-Enfield CUSD 3,IL-20-097-0030-26,2009700302002,PO Box 399,Norris City,IL,62869,PO Box 399,Norris City,IL,62869,(618)378-3212,Illinois,37.963308,-88.330116,-2,-2,Rural remote,17193,Primary,Regular school,Open,Kindergarten,8,NA,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,Yes,NA,No,No,No,No,22,153,13,166,Yes,No,Yes,No,372,17109,17055,170000403009,1715,NA,Yes participating without using any Provision or the CEP
2017,170000403010,03010,Norris City-Omaha-Enfield H S,1700004,Norris City-Omaha-Enfield CUSD 3,IL-20-097-0030-26,2009700300001,PO Box 399,Norris City,IL,62869,PO Box 399,Norris City,IL,62869,(618)378-3312,Illinois,37.974405,-88.326858,-2,-2,Rural remote,17193,High,Regular school,Open,9,12,NA,School is eligible for Title I Targeted Assistance (TAS) but provides no program,Yes,No,No,No,No,No,16,79,15,94,No,Yes,No,No,208,17109,17055,170000403010,1715,NA,Yes participating without using any Provision or the CEP
