oracle_id,school_name,FY 2017 Ending Budget
25871,A N Pritzker School,5738865
29111,A Philip Randolph Magnet School,4574495
66255,ASPIRA Business and Finance,4187939
66254,ASPIRA Charter - Early College Campus,5379558
66351,ASPIRA Charter-Haugan Middle School Campus,5181401
11116,AUSL Program Support,7593388
24191,Abraham Lincoln Elementary School,6063949
63011,Academy for Global Citizenship,4544746
66031,Academy of Communications & Technology (ACT) Charter School,2975683
69362,Academy of Sacred Heart/Hardey Prep,10925
69257,Academy of St. Benedict the African Laflin,301596
11201,Access and Enrollment,3070846
16050,Accountability,163335
12410,Accounting,4663877
12430,Accounts Payable,590658
26291,Adam Clayton Powell Jr Paideia Community Academy,5215718
25471,Adlai E Stevenson School,10922373
23791,Agustin Lara Academy,4158948
45231,Air Force Academy High School,3703462
69343,Akiba Jewish Day School,107927
46471,Al Raby High School,5332785
66151,Alain Locke Charter School,4817217
32011,Albany Park Multicultural Academy Elementary School,2822094
46221,Albert G Lane Technical High School,31323487
29371,Albert R Sabin Magnet School,5290131
25681,Alessandro Volta School,7796253
22301,Alex Haley School,5809471
23462,Alexander Fleming Br - Grimes,316
22231,Alexander Graham Bell School,8771637
23391,Alexander Graham School,4212336
23501,Alexander Hamilton School,4011911
24691,Alfred Nobel Elementary School,7091990
22131,Alice L Barnard Computer Math & Science Center,3536038
69323,Altus Academy,26330
66551,Amandla Charter School,12771
24981,Ambrose Plamondon School,1767295
26441,Amelia Earhart Options For Knowledge Specialty School,2371754
26521,Amos A Stagg School,3780206
69104,Ancona School Society,23843
22551,Andrew Carnegie School,5380918
29171,Andrew Jackson Language Academy,4979537
22841,Anna R. Langford Community Academy,3204896
29211,Annie Keller Regional Gifted Magnet School,2162521
69040,Annunciata,42815
66291,Architectur Construction & Engineering - ACE Technical Charter School,4647777
69591,Arie Crown School,116738
23421,Ariel Community Academy,4497223
25331,Arnold Mireles Academy,5070716
24171,Arthur A Libby School,4247741
22971,Arthur Dixon School,4946366
22541,Arthur E Canty,6334902
26191,Arthur R Ashe Jr Elementary School,2983988
10890,Arts,1851384
32081,Ashburn Community Area School,5202354
11210,Assessment,6902013
69530,Associated Talmud Torah Of Chicago,685297
22091,Audubon Elementary School,5028915
22421,Augustus H Burley Elementary School,4887592
66411,Austin Business and Entrepreneurship Academy,220310
66511,Austin Multiplex,95087
49141,Austin Polytechnical Academy,22583
22101,Avalon Park School,2906361
46551,Back of the Yards High School,9051291
69553,Bais Yaakov High School Of Chicago,55529
65019,Banner Academy West,2515762
26732,Barbara Vick Center - Vick Village,25836
26731,Barbara Vick Early Childhood & Family Center,3935937
29321,Beasley Academic Center Magnet,9996551
29322,Beasley CPC,9207
26771,Belmont-Cragin School,5156882
46421,Benito Juarez High School,15191521
26321,Benjamin E Mays Academy,4609777
24551,Bernhard Moos School,5172425
25412,Bernice F Joyner Child-Parent- Center Br - Smyth,56187
69304,Bethseda Lutheran School,47550
25161,Betsy Ross School,515
66401,Betty Shabazz - Barbara A. Sizemore,2241
66121,Betty Shabazz International Charter School,534412
66311,Betty Shabazz International Charter School-DuSable Leadership,9195
25371,Beulah Shoesmith School,3067666
29382,Black Robert A Br - Black Magnet,9345
30071,Blair Early Childhood Center,4301748
69056,Blessed Agnes School,73546
10110,Board of Trustees,1018279
22371,Bouchet Academy,5917934
46491,Bowen High School,5069008
22311,Brentano Math & Science Academy,4385813
23561,Bret Harte Elementary School,3341312
24781,Brian Piccolo Elementary School,5303739
69202,Brickton Montessori School,20500
11956,Bridgeport,14456
69209,Bridgeport Catholic Academy School - South,33531
26451,Brighton Park Elementary School,4271645
66421,Bronzeville Lighthouse Charter School,7206
55191,Bronzeville Scholastic Institute,4149943
69357,Brother Rice High School B,28419
12610,Budget & Management Office,2472345
22431,Burnham/Anthony Inclusive Academy,4987725
29021,Burnside Scholastic Academy,4954625
12280,Business Diversity,281941
11890,CPS Warehouse - City Wide,2778009
22511,Caldwell Academy Of Mathematics Science & Technology,2603189
26821,Calmeca Academy of Fine Arts and Dual Language,6608646
66501,Calumet Multiplex,2895
66012,Camelot Safe Academy Elementary,314697
66013,Camelot Safe Academy Elementary Garfield Park,1399933
23981,Canter Middle School,12698
12150,Capital/Operations - City Wide,126144
46281,Carl Schurz High School,18449897
24201,Carl Von Linne Elementary School,5635855
25941,Carrie Jacobs Bond,3440192
26541,Carter G Woodson South,3823439
46381,Carver Military High School,5461029
31211,Casimir Pulaski International Academy Elementary School,7142121
22461,Castellanos,5467605
66433,Catalyst - Maria Charter School,12910982
66432,Catalyst Elementary School - Circle Rock,5457905
69302,Catherine Cook School,11910
25151,Cesar E Chavez Multicultural Academic Center,9142464
53041,Charles Allen Prosser Career Academy,13656595
22571,Charles Carroll School,5010320
23901,Charles Evans Hughes School,2611933
23531,Charles G Hammond School,4522804
22901,Charles Gates Dawes School,9235414
26621,Charles H Wacker School,3463983
31151,Charles Kozminski Community Academy School,2837600
23821,Charles N Holden School,4782044
46291,Charles P Steinmetz Academic Centre,13707030
22881,Charles R Darwin School,4886365
23721,Charles R Henderson School,2591729
22361,Charles S Brownell School,2194890
22931,Charles S Deneen School,4507065
31221,Charles Sumner Mathematics & Science Community Academy,2957027
23031,Charles W Earle School,4503813
69593,Cheder Lubavitch,51341
69099,Cheder Lubavitch Hebrew School,62030
45211,Chicago Academy Elementary School,5171006
46481,Chicago Academy High School,5315770
66671,Chicago Collegiate,3339003
63141,Chicago Excel/Camelot,3002939
47091,Chicago High School For Agricultural Sciences,9198786
63051,Chicago High School for the Arts,5879136
69012,Chicago Hope Academy,15725
66077,Chicago International Charter School (CICS) Larry Hawkins Campus,4984
66371,Chicago International Charter School (CICS)- Avalon/South Shore Campus,5162048
66231,Chicago International Charter School (CICS)- Basil Campus,7457463
66071,Chicago International Charter School (CICS)- Bucktown Campus,7264134
66061,Chicago International Charter School (CICS)- Longwood Campus,15198807
66241,Chicago International Charter School (CICS)- Northtown Campus,10485961
66161,Chicago International Charter School (CICS)- Prairie Campus,4314499
66072,Chicago International Charter School (CICS)- Ralph Ellison Campus,5291444
66181,Chicago International Charter School (CICS)- Washington Park Campus,4733459
66221,Chicago International Charter School (CICS)- West Belden Campus,5726648
66381,Chicago International Charter School (CICS)- Wrightwood Campus,7883855
66651,Chicago International Charter School - ChicagoQuest North,3312466
66075,Chicago International Charter School - Friesse Campus,5606823
66074,Chicago International Charter School - Irving Park,5386695
66076,Chicago International Charter School - Lloyd Bond Campus,3563706
69036,Chicago Jewish Day School,12540
66281,Chicago Math and Science Academy (CMSA) Charter School,6831023
70070,Chicago Military Academy - Bronzeville,3626039
69450,Chicago SDA Academy,58788
63111,Chicago Talent Development High School,3135
63091,Chicago Technology Academy High School,3339878
66481,Chicago Virtual Charter School,7492322
53011,Chicago Vocational Career Academy,11034938
69238,Chicago Westside Christian,113708
14010,Chief Administrative Office,247669
10816,Chief Education Office,1265192
10810,Chief Teaching & Learning Officer,3282223
69135,Children of Peace,37742
69462,Christ The King Lutheran,36620
69073,Christ The King School,86211
69027,Christ the King Jesuit (Catholic),325001
69237,Christian Affiliate Schools,499451
23051,Christian Ebinger,5944629
46111,Christian Fenger Academy,3762467
69171,Christian STEM Scholars Academy,24710
69170,Christo Rey High School,32753
22791,Christopher Columbus School,2617005
66661,Christopher House Charter School,3141738
22151,Clara W Barton School,4610514
31301,Claremont Academy,5207059
10870,College and Career Success Office,307253
49131,Collins Academy High School,4107474
44021,Collins Multiplex,71786
11955,Colman,18506
20071,Columbia Explorers Academy,8410085
10510,Communications Office,1612214
12690,Consolidated Pointer Line Unit,-38230634
49041,Consuella B. York Alternative HS,7334964
12691,Control Accounts/Compensation - City Wide,11815954
69371,Cornerstone Academy,8006
69538,Council Oak Montessori,5610
10850,Counseling and Postsecondary Advising,2526011
10855,Counseling and Postsecondary Advising - City Wide,1951901
23891,Countee Cullen School,1884984
30141,Courtenay Language Arts Center,6752109
31021,Crispus Attucks School,2963
31041,Crown Community Academy Fine Arts Center,3200734
24431,Cyrus H Mccormick School,6396244
22271,Daniel Boone School,7515501
30051,Daniel Carter Beard School,4370429
55161,Daniel Hale Williams Prep School of Medicine,3324333
22851,Daniel J Corkery School,5134855
22531,Daniel R Cameron Elementary School,6934258
25811,Daniel S Wentworth School,5540886
25791,Daniel Webster School,3568552
53091,David G Farragut Career Academy High School,10052878
69566,Daystar School,62850
69363,De La Salle Institute B,3591
69367,DePaul College Prep,111584
10825,Department of Personalized Learning,1837959
46521,Devry University Advantage Academy,2365254
22951,Dewey Academy Of Multicultural Studies,4058726
22751,Dewitt Clinton School,8553479
26921,Disney II Magnet School,9525974
11675,Diverse Learner Related Services Providers - City Wide,142480884
11610,Diverse Learner Supports & Services,7601634
22981,Dodge Renaissance Academy,2671
11951,Dodge-Garfield Park,22398
24571,Donald L Morrill Mathematics & Science Specialty School,6406165
25591,Douglas Taylor Elementary School,4694402
22581,Dr Jorge Prieto Math and Science Academy,8487950
26371,Dr. Martin Luther King Jr. Academy of Social Justice,2804615
46541,DuSable Multiplex,193530
