Unit,Unit Name,FY 2016 Ending Budget,FY 2017 Ending Budget,FY 2018 Proposed Budget,Budget ,FY 2016 Budgeted Positions,FY 2017 Budgeted Positions,FY 2018 Approved Positions,Positions ,
25871,A N Pritzker School,"5,626,698","5,738,865","5,491,306","-247,559",55.5,59,56,-3,5
29111,A Philip Randolph Magnet School,"4,560,578","4,574,495","4,519,426","-55,069",43,43.5,44,0.5,5
66255,ASPIRA Business and Finance,"2,108,500","4,187,939","5,833,258","1,645,319",0,2,3,1,5
66254,ASPIRA Charter - Early College Campus,"5,430,370","5,379,558","5,483,606","104,048",2,2,2,0,5
66251,ASPIRA Charter- Mirta Ramirez Computer Science HS,"5,652",0,0,0,0,0,0,0,5
66351,ASPIRA Charter-Haugan Middle School Campus,"5,265,501","5,181,401","5,944,408","763,007",5,6,5,-1,5
11116,AUSL Program Support,"10,261,926","7,593,388","6,438,900","-1,154,489",32.8,29.9,22.2,-7.7,5
24191,Abraham Lincoln Elementary School,"5,784,287","6,063,949","5,703,058","-360,891",56.5,58,57.5,-0.5,5
63011,Academy for Global Citizenship,"4,605,055","4,544,746","5,086,673","541,927",6,6,6,0,5
66031,Academy of Communications & Technology (ACT) Charter School,"3,115,624","2,975,683","3,383,821","408,139",2,2,2,0,5
69362,Academy of Sacred Heart/Hardey Prep,"3,685","10,925",0,"-10,925",0,0,0,0,5
69257,Academy of St. Benedict the African Laflin,"588,277","301,596",0,"-301,596",0,0,0,0,5
11201,Access and Enrollment,"3,177,246","3,070,846","3,617,789","546,943",13,10,16,6,5
16050,Accountability,"10,295,885","163,335",2,"-163,332",48.2,0,0,0,5
12410,Accounting,"3,862,275","4,663,877","5,336,917","673,040",29,20,31,11,5
12430,Accounts Payable,"642,269","590,658","953,393","362,734",8,5,7,2,5
26291,Adam Clayton Powell Jr Paideia Community Academy,"5,263,623","5,215,718","5,115,376","-100,341",49.5,48,50,2,5
25472,Adlai E Stevenson Branch,991,0,0,0,0,0,0,0,5
25471,Adlai E Stevenson School,"10,934,155","10,922,373","10,758,142","-164,231",106.5,110,112,2,5
23791,Agustin Lara Academy,"4,203,544","4,158,948","4,189,153","30,205",47,46,47,1,5
45231,Air Force Academy High School,"3,651,688","3,703,462","3,798,114","94,652",44,39,40,1,5
69343,Akiba Jewish Day School,"127,439","107,927",0,"-107,927",0,0,0,0,5
46471,Al Raby High School,"6,262,523","5,332,785","4,804,384","-528,401",68.5,63.5,58.5,-5,5
66151,Alain Locke Charter School,"5,026,557","4,817,217","5,537,164","719,947",3,3,3,0,5
32011,Albany Park Multicultural Academy Elementary School,"2,789,051","2,822,094","2,670,698","-151,396",26,27,26,-1,5
46221,Albert G Lane Technical High School,"29,590,859","31,323,487","30,458,995","-864,493",286.5,295,305,10,5
29371,Albert R Sabin Magnet School,"5,132,766","5,290,131","4,986,315","-303,816",49,53,52,-1,5
25681,Alessandro Volta School,"8,002,175","7,796,253","7,321,479","-474,775",83,78.5,76,-2.5,5
22301,Alex Haley School,"5,546,746","5,809,471","5,362,297","-447,175",57,54,56,2,5
23462,Alexander Fleming Br - Grimes,150,316,0,-316,0,0,0,0,5
22231,Alexander Graham Bell School,"8,663,503","8,771,637","7,778,144","-993,493",90.5,85,80.5,-4.5,5
23391,Alexander Graham School,"4,211,736","4,212,336","3,957,604","-254,732",47,47,44,-3,5
23501,Alexander Hamilton School,"3,661,317","4,011,911","3,707,565","-304,346",42.5,41,41,0,5
25691,Alexander Von Humboldt School,199,0,0,0,0,0,0,0,5
24691,Alfred Nobel Elementary School,"6,895,356","7,091,990","7,057,778","-34,212",71.5,74.5,75.5,1,5
22131,Alice L Barnard Computer Math & Science Center,"3,470,560","3,536,038","3,306,737","-229,301",32,31.5,34,2.5,5
69323,Altus Academy,"42,626","26,330",0,"-26,330",0,0,0,0,5
66551,Amandla Charter School,"3,906,619","12,771",0,"-12,771",0,0,0,0,5
24981,Ambrose Plamondon School,"1,932,615","1,767,295","1,628,597","-138,699",16.5,20.5,18.5,-2,5
26441,Amelia Earhart Options For Knowledge Specialty School,"2,432,830","2,371,754","2,262,604","-109,150",24,24,22.5,-1.5,5
26521,Amos A Stagg School,"4,435,406","3,780,206","3,580,520","-199,686",54.5,52.5,41,-11.5,5
69104,Ancona School Society,"34,046","23,843",0,"-23,843",0,0,0,0,5
22551,Andrew Carnegie School,"5,188,301","5,380,918","5,413,376","32,458",51,52,54,2,5
29171,Andrew Jackson Language Academy,"4,925,622","4,979,537","4,719,607","-259,931",53,52,50.5,-1.5,5
22841,Anna R. Langford Community Academy,"3,662,772","3,204,896","2,897,122","-307,774",39.5,35,30,-5,5
29211,Annie Keller Regional Gifted Magnet School,"2,127,676","2,162,521","2,243,420","80,899",21,23,22,-1,5
69040,Annunciata,"63,130","42,815",0,"-42,815",0,0,0,0,5
26261,Anthony Overton School,250,0,0,0,0,0,0,0,5
66291,Architectur Construction & Engineering - ACE Technical Charter School,"5,331,987","4,647,777","4,485,417","-162,360",6,6,5,-1,5
69591,Arie Crown School,"217,243","116,738",0,"-116,738",0,0,0,0,5
23421,Ariel Community Academy,"4,497,775","4,497,223","4,724,793","227,570",49,53,55,2,5
25331,Arnold Mireles Academy,"5,815,429","5,070,716","4,808,890","-261,826",67.5,59,50,-9,5
24171,Arthur A Libby School,"4,001,611","4,247,741","3,719,785","-527,956",50,42,41,-1,5
22971,Arthur Dixon School,"5,096,712","4,946,366","4,451,673","-494,693",50.5,48,43,-5,5
22541,Arthur E Canty,"5,995,300","6,334,902","6,093,679","-241,223",62,63,64.5,1.5,5
26191,Arthur R Ashe Jr Elementary School,"3,370,481","2,983,988","2,919,238","-64,750",34,29,30,1,5
10890,Arts,"2,323,696","1,851,384","1,639,808","-211,576",6,5,5,0,5
32081,Ashburn Community Area School,"4,942,259","5,202,354","5,055,009","-147,346",49.5,54.5,52.5,-2,5
11210,Assessment,"8,117,268","6,902,013","6,520,538","-381,475",8,8,8,0,5
69530,Associated Talmud Torah Of Chicago,"324,359","685,297",0,"-685,297",0,0,0,0,5
22091,Audubon Elementary School,"4,748,924","5,028,915","4,460,939","-567,976",45.5,48.5,48.5,0,5
22421,Augustus H Burley Elementary School,"4,553,788","4,887,592","4,380,004","-507,588",45.5,47.5,46.5,-1,5
66411,Austin Business and Entrepreneurship Academy,"1,439,882","220,310",0,"-220,310",17,0,0,0,5
66511,Austin Multiplex,"422,220","95,087",0,"-95,087",10,8,0,-8,5
49141,Austin Polytechnical Academy,"1,756,053","22,583",0,"-22,583",25,0,0,0,5
22101,Avalon Park School,"3,129,321","2,906,361","3,008,070","101,710",33,30,31,1,5
46551,Back of the Yards High School,"7,119,839","9,051,291","8,975,243","-76,048",79,97,104,7,5
69553,Bais Yaakov High School Of Chicago,"87,258","55,529",0,"-55,529",0,0,0,0,5
65019,Banner Academy West,"3,570,471","2,515,762","2,955,565","439,803",0,1,1,0,5
26732,Barbara Vick Center - Vick Village,"28,861","25,836","25,836",0,0,0,0,0,5
26731,Barbara Vick Early Childhood & Family Center,"3,809,129","3,935,937","3,887,537","-48,400",41.5,42.5,42,-0.5,5
29321,Beasley Academic Center Magnet,"10,779,384","9,996,551","10,186,681","190,130",120.5,118.5,112.5,-6,5
29322,Beasley CPC,"2,356","9,207",0,"-9,207",0,0,0,0,5
26771,Belmont-Cragin School,"4,850,689","5,156,882","5,086,335","-70,547",53.7,53.2,55.7,2.5,5
46421,Benito Juarez High School,"15,695,722","15,191,521","15,000,777","-190,743",155,148,154,6,5
26321,Benjamin E Mays Academy,"4,885,934","4,609,777","4,026,567","-583,210",53,52,46,-6,5
69439,Bernard Zell Anshe Emet Day Sch,"10,015",0,0,0,0,0,0,0,5
24551,Bernhard Moos School,"5,304,062","5,172,425","4,762,007","-410,418",54.5,59,52,-7,5
25412,Bernice F Joyner Child-Parent- Center Br - Smyth,"55,620","56,187","57,978","1,791",1,1,1,0,5
69304,Bethseda Lutheran School,"47,927","47,550",0,"-47,550",0,0,0,0,5
25161,Betsy Ross School,584,515,0,-515,0,0,0,0,5
66401,Betty Shabazz - Barbara A. Sizemore,"2,743,895","2,241",0,"-2,241",0,0,0,0,5
66121,Betty Shabazz International Charter School,"3,325,664","534,412",0,"-534,412",0,0,0,0,5
66311,Betty Shabazz International Charter School-DuSable Leadership,"882,272","9,195",0,"-9,195",0,0,0,0,5
25371,Beulah Shoesmith School,"3,069,502","3,067,666","2,927,268","-140,398",35.5,32.5,33.5,1,5
29382,Black Robert A Br - Black Magnet,"16,309","9,345",0,"-9,345",0,0,0,0,5
